           1 - subshell number
           1 - subshell index
   K (1s1/2) - subshell label
  3.4565E+04 - subshell binding energy (eV)
           2 - number of electrons when neutral
 
     Transitions
      Secondary  Tertiary    Transition   Transition
      Subshell   Subshell    Energy(eV)   Probability
          8         19       2.87600E+02  1.75443E-02
          9         10       1.03580E+02  2.16181E-02
          9         11       1.51260E+02  1.55228E-01
          9         12       1.63970E+02  1.62144E-02
          9         13       2.42110E+02  3.35803E-03
          9         14       2.44170E+02  6.97326E-03
          9         17       2.88340E+02  2.10220E-03
          9         18       2.99600E+02  1.17157E-02
          9         19       3.00990E+02  1.38477E-03
         10         10       5.72730E+02  7.11491E-04
         10         11       6.20410E+02  1.00712E-02
         10         12       6.33120E+02  1.64492E-03
         10         13       7.11260E+02  3.60604E-04
         10         14       7.13320E+02  1.05443E-03
         10         17       7.57490E+02  1.61142E-04
         10         18       7.68750E+02  7.26084E-04
         10         19       7.70140E+02  1.44113E-04
         11         11       6.68090E+02  7.18716E-03
         11         12       6.80800E+02  2.24402E-02
         11         13       7.58940E+02  1.91939E-02
         11         14       7.61000E+02  3.19327E-02
         11         17       8.05170E+02  1.43652E-03
         11         18       8.16430E+02  1.26701E-03
         11         19       8.17820E+02  2.16657E-03
         12         12       6.93510E+02  6.35024E-04
         12         13       7.71650E+02  1.98394E-03
         12         14       7.73710E+02  1.44210E-03
         12         17       8.17880E+02  1.71361E-04
         12         18       8.29140E+02  1.73954E-03
         12         19       8.30530E+02  1.04112E-04
         13         13       8.49790E+02  6.39249E-04
         13         14       8.51850E+02  1.60199E-03
         13         17       8.96020E+02  4.45985E-05
         13         18       9.07280E+02  1.33914E-03
         13         19       9.08670E+02  1.48662E-04
         14         14       8.53910E+02  2.04162E-04
         14         17       8.98080E+02  5.78418E-05
         14         18       9.09340E+02  1.18744E-03
         14         19       9.10730E+02  5.31492E-05
         17         17       9.42250E+02  7.24053E-06
         17         18       9.53510E+02  8.10945E-05
         17         19       9.54900E+02  1.11021E-05
         18         18       9.64770E+02  3.12454E-05
         18         19       9.66160E+02  9.30160E-05
         19         19       9.67550E+02  2.44933E-06
 
           7 - subshell number
           7 - subshell index
   M3(3p3/2) - subshell label
  9.4060E+02 - subshell binding energy (eV)
           4 - number of electrons when neutral
 
     Transitions
      Secondary  Tertiary    Transition   Transition
      Subshell   Subshell    Energy(eV)   Probability
          8          0       2.35650E+02  2.21851E-05
          9          0       2.49040E+02  2.41335E-04
         10          0       7.18190E+02  3.66684E-04
